%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
         420.       25.3000       4.52097       194.659       26.2274        7.4503        6.8195        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         423.       25.5000       4.52347       194.702       26.2760        7.4502        6.8200        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         427.       25.7000       4.52597       194.744       26.3240        7.4502        6.8205        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         430.       25.9000       4.52847       194.786       26.3714        7.4502        6.8211        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         433.       26.1000       4.53098       194.828       26.4181        7.4502        6.8216        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         437.       26.3000       4.53350       194.869       26.4643        7.4502        6.8222        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         440.       26.5000       4.53602       194.909       26.5099        7.4503        6.8229        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         443.       26.7000       4.53854       194.950       26.5549        7.4505        6.8235        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         447.       26.9000       4.54107       194.989       26.5994        7.4506        6.8242        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         450.       27.1000       4.54359       195.029       26.6432        7.4508        6.8249        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         453.       27.3000       4.54612       195.068       26.6865        7.4510        6.8256        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         457.       27.5000       4.54864       195.106       26.7293        7.4513        6.8263        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         460.       27.7000       4.55117       195.144       26.7716        7.4516        6.8271        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         463.       27.9000       4.55370       195.182       26.8133        7.4519        6.8279        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         467.       28.1000       4.55622       195.219       26.8545        7.4522        6.8286        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         470.       28.3000       4.55875       195.257       26.8952        7.4526        6.8295        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         473.       28.5000       4.56127       195.293       26.9354        7.4530        6.8303        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         477.       28.7000       4.56379       195.329       26.9751        7.4534        6.8311        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         480.       28.9000       4.56631       195.365       27.0143        7.4538        6.8320        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         483.       29.1000       4.56883       195.401       27.0531        7.4543        6.8329        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         487.       29.3000       4.57134       195.436       27.0913        7.4548        6.8338        9.8559      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         490.       29.5000       4.57385       195.471       27.1291        7.4553        6.8347        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         493.       29.7000       4.57635       195.505       27.1665        7.4558        6.8356        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         497.       29.9000       4.57885       195.539       27.2033        7.4564        6.8366        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         500.       30.1000       4.58135       195.573       27.2398        7.4569        6.8375        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         503.       30.3000       4.58384       195.607       27.2758        7.4575        6.8385        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         507.       30.5000       4.58632       195.640       27.3114        7.4582        6.8395        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         510.       30.7000       4.58880       195.672       27.3466        7.4588        6.8405        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         513.       30.9000       4.59128       195.705       27.3813        7.4594        6.8415        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         517.       31.1000       4.59375       195.737       27.4156        7.4601        6.8425        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         520.       31.3000       4.59621       195.769       27.4496        7.4608        6.8435        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         523.       31.5000       4.59866       195.800       27.4831        7.4615        6.8445        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         527.       31.7000       4.60112       195.831       27.5162        7.4622        6.8456        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         530.       31.9000       4.60355       195.862       27.5490        7.4629        6.8466        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         533.       32.1000       4.60599       195.893       27.5813        7.4637        6.8477        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         537.       32.3000       4.60842       195.923       27.6133        7.4645        6.8488        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         540.       32.5000       4.61084       195.953       27.6450        7.4652        6.8498        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         543.       32.7000       4.61325       195.983       27.6762        7.4660        6.8509        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         547.       32.9000       4.61565       196.012       27.7071        7.4668        6.8520        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         550.       33.1000       4.61805       196.041       27.7377        7.4676        6.8531        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         553.       33.3000       4.62044       196.070       27.7678        7.4685        6.8542        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         557.       33.5000       4.62282       196.099       27.7977        7.4693        6.8553        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         560.       33.7000       4.62519       196.127       27.8272        7.4702        6.8564        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         563.       33.9000       4.62755       196.155       27.8563        7.4710        6.8576        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         567.       34.1000       4.62991       196.183       27.8852        7.4719        6.8587        9.7773      0.000000      0.000000     0.0000000      0.000000     0.0000000 
