%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
           7.        0.2370       0.10704       193.861        3.2858        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000165      0.005533     0.0000000 
           7.        0.2380       0.10699       193.890        3.2890        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000158      0.005265     0.0000000 
           7.        0.2390       0.10695       193.918        3.2922        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000152      0.005008     0.0000000 
           7.        0.2400       0.10690       193.946        3.2955        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000146      0.004762     0.0000000 
           7.        0.2410       0.10685       193.975        3.2986        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000140      0.004526     0.0000000 
           7.        0.2420       0.10680       194.003        3.3017        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000134      0.004301     0.0000000 
           7.        0.2430       0.10675       194.031        3.3048        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000128      0.004085     0.0000000 
           7.        0.2440       0.10670       194.059        3.3080        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000123      0.003878     0.0000000 
           7.        0.2450       0.10665       194.087        3.3110        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000117      0.003681     0.0000000 
           7.        0.2460       0.10659       194.115        3.3142        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000112      0.003492     0.0000000 
           7.        0.2470       0.10654       194.143        3.3173        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000107      0.003312     0.0000000 
           7.        0.2480       0.10648       194.171        3.3204        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000103      0.003140     0.0000000 
           7.        0.2490       0.10643       194.199        3.3237        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000098      0.002976     0.0000000 
           8.        0.2500       0.10637       194.226        3.3267        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000094      0.002819     0.0000000 
           8.        0.2510       0.10631       194.254        3.3296        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000089      0.002671     0.0000000 
           8.        0.2520       0.10625       194.282        3.3326        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000085      0.002528     0.0000000 
           8.        0.2530       0.10619       194.309        3.3355        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000081      0.002393     0.0000000 
           8.        0.2540       0.10613       194.337        3.3387        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000078      0.002264     0.0000000 
           8.        0.2550       0.10607       194.364        3.3415        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000074      0.002141     0.0000000 
           8.        0.2560       0.10601       194.392        3.3446        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000070      0.002024     0.0000000 
           8.        0.2570       0.10595       194.419        3.3477        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000067      0.001913     0.0000000 
           8.        0.2580       0.10589       194.446        3.3506        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000064      0.001808     0.0000000 
           8.        0.2590       0.10583       194.473        3.3537        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000061      0.001707     0.0000000 
           8.        0.2600       0.10577       194.500        3.3566        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000058      0.001612     0.0000000 
           8.        0.2610       0.10570       194.527        3.3595        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000055      0.001521     0.0000000 
           8.        0.2620       0.10564       194.555        3.3625        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000052      0.001435     0.0000000 
           8.        0.2630       0.10558       194.581        3.3656        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000050      0.001354     0.0000000 
           8.        0.2640       0.10551       194.608        3.3681        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000047      0.001276     0.0000000 
           8.        0.2650       0.10545       194.635        3.3712        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000045      0.001203     0.0000000 
           8.        0.2660       0.10539       194.662        3.3743        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000043      0.001133     0.0000000 
           8.        0.2670       0.10532       194.689        3.3772        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000040      0.001068     0.0000000 
           8.        0.2680       0.10526       194.715        3.3801        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000038      0.001005     0.0000000 
           8.        0.2690       0.10519       194.742        3.3828        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000036      0.000946     0.0000000 
           8.        0.2700       0.10513       194.769        3.3858        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000034      0.000890     0.0000000 
           9.        0.2710       0.10506       194.795        3.3887        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000033      0.000837     0.0000000 
           9.        0.2720       0.10500       194.822        3.3917        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000031      0.000787     0.0000000 
           9.        0.2730       0.10493       194.848        3.3945        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000029      0.000740     0.0000000 
           9.        0.2740       0.10487       194.874        3.3975        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000028      0.000695     0.0000000 
           9.        0.2750       0.10480       194.901        3.4003        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000026      0.000653     0.0000000 
           9.        0.2760       0.10474       194.927        3.4033        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000025      0.000614     0.0000000 
           9.        0.2770       0.10467       194.953        3.4060        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000023      0.000576     0.0000000 
           9.        0.2780       0.10461       194.979        3.4090        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000022      0.000540     0.0000000 
           9.        0.2790       0.10454       195.005        3.4117        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000021      0.000507     0.0000000 
           9.        0.2800       0.10448       195.031        3.4145        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000020      0.000475     0.0000000 
           9.        0.2810       0.10442       195.057        3.4173        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000019      0.000446     0.0000000 
           9.        0.2820       0.10435       195.083        3.4198        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000018      0.000418     0.0000000 
           9.        0.2830       0.10429       195.109        3.4229        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000017      0.000391     0.0000000 
           9.        0.2840       0.10422       195.135        3.4256        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000016      0.000367     0.0000000 
           9.        0.2850       0.10416       195.161        3.4283        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000015      0.000343     0.0000000 
           9.        0.2860       0.10409       195.186        3.4311        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000014      0.000321     0.0000000 
           9.        0.2870       0.10403       195.212        3.4340        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000013      0.000301     0.0000000 
           9.        0.2880       0.10397       195.238        3.4366        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000012      0.000281     0.0000000 
           9.        0.2890       0.10390       195.263        3.4393        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000012      0.000263     0.0000000 
          10.        0.2900       0.10384       195.289        3.4423        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000011      0.000246     0.0000000 
          10.        0.2910       0.10378       195.314        3.4450        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000010      0.000230     0.0000000 
          10.        0.2920       0.10371       195.340        3.4479        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000010      0.000215     0.0000000 
          10.        0.2930       0.10365       195.365        3.4505        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000009      0.000200     0.0000000 
          10.        0.2940       0.10359       195.390        3.4531        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000009      0.000187     0.0000000 
          10.        0.2950       0.10352       195.416        3.4555        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000008      0.000175     0.0000000 
          10.        0.2960       0.10346       195.441        3.4586        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000008      0.000163     0.0000000 
          10.        0.2970       0.10340       195.466        3.4612        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000007      0.000152     0.0000000 
