%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb       
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]      
%
         397.       13.9904       4.43016       191.288       21.9326        7.5661        6.8858       10.0955      0.000000      0.000000     0.0000000      1.000000 
         400.       14.4044       4.42941       191.451       22.1607        7.5558        6.8777       10.0955      0.000000      0.000000     0.0000000      1.000000 
         403.       14.8304       4.42932       191.614       22.3871        7.5459        6.8702       10.0955      0.000000      0.000000     0.0000000      1.000000 
         407.       15.2666       4.42977       191.778       22.6111        7.5364        6.8632       10.0955      0.000000      0.000000     0.0000000      1.000000 
         410.       15.7130       4.43074       191.941       22.8327        7.5274        6.8566       10.0955      0.000000      0.000000     0.0000000      1.000000 
         413.       16.1721       4.43234       192.104       23.0521        7.5189        6.8506       10.0955      0.000000      0.000000     0.0000000      1.000000 
         417.       16.6418       4.43443       192.267       23.2688        7.5109        6.8450       10.0955      0.000000      0.000000     0.0000000      1.000000 
         420.       17.1221       4.43702       192.430       23.4826        7.5034        6.8400       10.0955      0.000000      0.000000     0.0000000      1.000000 
         423.       17.6157       4.44017       192.591       23.6938        7.4964        6.8354       10.0955      0.000000      0.000000     0.0000000      1.000000 
         427.       18.1202       4.44379       192.753       23.9021        7.4898        6.8314       10.0955      0.000000      0.000000     0.0000000      1.000000 
         430.       18.6358       4.44785       192.913       24.1071        7.4838        6.8278       10.0955      0.000000      0.000000     0.0000000      1.000000 
         433.       19.1651       4.45242       193.073       24.3089        7.4783        6.8248       10.0955      0.000000      0.000000     0.0000000      1.000000 
         437.       19.7058       4.45741       193.231       24.5076        7.4733        6.8222       10.0955      0.000000      0.000000     0.0000000      1.000000 
         440.       20.2578       4.46279       193.388       24.7028        7.4688        6.8201        9.9352      0.000000      0.000000     0.0000000      1.000000 
         443.       20.8239       4.46863       193.544       24.8946        7.4648        6.8185        9.9352      0.000000      0.000000     0.0000000      1.000000 
         447.       21.4017       4.47482       193.699       25.0830        7.4613        6.8173        9.9352      0.000000      0.000000     0.0000000      1.000000 
         450.       21.9911       4.48135       193.852       25.2675        7.4582        6.8165        9.9352      0.000000      0.000000     0.0000000      1.000000 
         453.       22.5949       4.48828       194.003       25.4485        7.4557        6.8162        9.9352      0.000000      0.000000     0.0000000      1.000000 
         457.       23.2105       4.49550       194.152       25.6258        7.4537        6.8163        9.9352      0.000000      0.000000     0.0000000      1.000000 
         460.       23.8379       4.50300       194.300       25.7992        7.4521        6.8168        9.9352      0.000000      0.000000     0.0000000      1.000000 
         463.       24.4800       4.51082       194.445       25.9688        7.4509        6.8178        9.9352      0.000000      0.000000     0.0000000      1.000000 
         467.       25.1339       4.51888       194.589       26.1347        7.4502        6.8191        9.9352      0.000000      0.000000     0.0000000      1.000000 
         470.       25.7998       4.52717       194.730       26.2965        7.4500        6.8207        9.9352      0.000000      0.000000     0.0000000      1.000000 
         473.       26.4803       4.53569       194.869       26.4545        7.4501        6.8227        9.9352      0.000000      0.000000     0.0000000      1.000000 
         477.       27.1727       4.54440       195.006       26.6086        7.4507        6.8250        9.9352      0.000000      0.000000     0.0000000      1.000000 
         480.       27.8770       4.55326       195.141       26.7588        7.4516        6.8276        9.7773      0.000000      0.000000     0.0000000      1.000000 
         483.       28.5959       4.56230       195.272       26.9050        7.4530        6.8306        9.7773      0.000000      0.000000     0.0000000      1.000000 
         487.       29.3265       4.57146       195.402       27.0473        7.4546        6.8338        9.7773      0.000000      0.000000     0.0000000      1.000000 
         490.       30.0688       4.58072       195.529       27.1858        7.4566        6.8372        9.7773      0.000000      0.000000     0.0000000      1.000000 
         493.       30.8254       4.59007       195.652       27.3202        7.4590        6.8409        9.7773      0.000000      0.000000     0.0000000      1.000000 
         497.       31.5935       4.59949       195.774       27.4508        7.4616        6.8448        9.7773      0.000000      0.000000     0.0000000      1.000000 
         500.       32.3730       4.60895       195.892       27.5778        7.4645        6.8489        9.7773      0.000000      0.000000     0.0000000      1.000000 
         503.       33.1663       4.61845       196.008       27.7007        7.4677        6.8532        9.7773      0.000000      0.000000     0.0000000      1.000000 
         507.       33.9707       4.62795       196.121       27.8199        7.4711        6.8577        9.7773      0.000000      0.000000     0.0000000      1.000000 
         510.       34.7861       4.63744       196.231       27.9355        7.4747        6.8623        9.7773      0.000000      0.000000     0.0000000      1.000000 
         513.       35.6146       4.64690       196.339       28.0472        7.4786        6.8671        9.7773      0.000000      0.000000     0.0000000      1.000000 
         517.       36.4537       4.65631       196.443       28.1554        7.4826        6.8719        9.7773      0.000000      0.000000     0.0000000      1.000000 
         520.       37.3031       4.66568       196.545       28.2601        7.4868        6.8769        9.7773      0.000000      0.000000     0.0000000      1.000000 
         523.       38.1648       4.67496       196.643       28.3612        7.4912        6.8820        9.6220      0.000000      0.000000     0.0000000      1.000000 
         527.       39.0364       4.68415       196.739       28.4588        7.4957        6.8871        9.6220      0.000000      0.000000     0.0000000      1.000000 
         530.       39.9175       4.69325       196.833       28.5533        7.5003        6.8922        9.6220      0.000000      0.000000     0.0000000      1.000000 
         533.       40.8099       4.70222       196.923       28.6443        7.5049        6.8974        9.6220      0.000000      0.000000     0.0000000      1.000000 
         537.       41.7113       4.71107       197.011       28.7322        7.5097        6.9026        9.6220      0.000000      0.000000     0.0000000      1.000000 
         540.       42.6212       4.71979       197.096       28.8169        7.5146        6.9079        9.6220      0.000000      0.000000     0.0000000      1.000000 
         543.       43.5414       4.72834       197.178       28.8984        7.5195        6.9131        9.6220      0.000000      0.000000     0.0000000      1.000000 
         547.       44.4693       4.73675       197.257       28.9770        7.5244        6.9183        9.6220      0.000000      0.000000     0.0000000      1.000000 
         550.       45.4049       4.74500       197.334       29.0526        7.5294        6.9235        9.6220      0.000000      0.000000     0.0000000      1.000000 
         553.       46.3492       4.75305       197.408       29.1252        7.5343        6.9286        9.6220      0.000000      0.000000     0.0000000      1.000000 
         557.       47.3002       4.76093       197.480       29.1950        7.5393        6.9337        9.6220      0.000000      0.000000     0.0000000      1.000000 
         560.       48.2575       4.76865       197.549       29.2625        7.5443        6.9388        9.6220      0.000000      0.000000     0.0000000      1.000000 
         563.       49.2220       4.77615       197.616       29.3270        7.5492        6.9437        9.6220      0.000000      0.000000     0.0000000      1.000000 
         567.       50.1920       4.78348       197.681       29.3893        7.5541        6.9486        9.6220      0.000000      0.000000     0.0000000      1.000000 
         570.       51.1669       4.79062       197.743       29.4491        7.5589        6.9535        9.7773      0.000000      0.000000     0.0000000      1.000000 
         573.       52.1474       4.79754       197.803       29.5064        7.5637        6.9582        9.7773      0.000000      0.000000     0.0000000      1.000000 
         577.       53.1319       4.80427       197.860       29.5614        7.5684        6.9628        9.7773      0.000000      0.000000     0.0000000      1.000000 
         580.       54.1199       4.81081       197.916       29.6143        7.5731        6.9674        9.7773      0.000000      0.000000     0.0000000      1.000000 
         583.       55.1117       4.81712       197.969       29.6646        7.5776        6.9718        9.7773      0.000000      0.000000     0.0000000      1.000000 
         587.       56.1061       4.82325       198.021       29.7134        7.5821        6.9762        9.7773      0.000000      0.000000     0.0000000      1.000000 
         590.       57.1025       4.82920       198.070       29.7601        7.5865        6.9804        9.7773      0.000000      0.000000     0.0000000      1.000000 
         593.       58.1008       4.83492       198.118       29.8046        7.5908        6.9846        9.7773      0.000000      0.000000     0.0000000      1.000000 
         597.       59.1001       4.84046       198.163       29.8473        7.5951        6.9886        9.7773      0.000000      0.000000     0.0000000      1.000000 
         600.       60.1000       4.84582       198.207       29.8886        7.5992        6.9925        9.7773      0.000000      0.000000     0.0000000      1.000000 
         603.       61.0999       4.85096       198.249       29.9279        7.6032        6.9963        9.7773      0.000000      0.000000     0.0000000      1.000000 
         607.       62.0992       4.85593       198.290       29.9655        7.6071        7.0000        9.7773      0.000000      0.000000     0.0000000      1.000000 
         610.       63.0975       4.86073       198.329       30.0018        7.6109        7.0036        9.7773      0.000000      0.000000     0.0000000      1.000000 
         613.       64.0939       4.86533       198.366       30.0365        7.6146        7.0070        9.7773      0.000000      0.000000     0.0000000      1.000000 
         617.       65.0883       4.86977       198.402       30.0697        7.6182        7.0104        9.7773      0.000000      0.000000     0.0000000      1.000000 
         620.       66.0801       4.87404       198.437       30.1015        7.6217        7.0136        9.7773      0.000000      0.000000     0.0000000      1.000000 
         623.       67.0681       4.87813       198.470       30.1319        7.6251        7.0168        9.7773      0.000000      0.000000     0.0000000      1.000000 
         627.       68.0526       4.88206       198.501       30.1611        7.6284        7.0198        9.7773      0.000000      0.000000     0.0000000      1.000000 
         630.       69.0331       4.88585       198.532       30.1891        7.6316        7.0227        9.7773      0.000000      0.000000     0.0000000      1.000000 
         633.       70.0080       4.88947       198.561       30.2159        7.6346        7.0256        9.7773      0.000000      0.000000     0.0000000      1.000000 
         637.       70.9780       4.89294       198.589       30.2415        7.6376        7.0283        9.7773      0.000000      0.000000     0.0000000      1.000000 
         640.       71.9425       4.89629       198.616       30.2664        7.6405        7.0309        9.7773      0.000000      0.000000     0.0000000      1.000000 
         643.       72.8998       4.89947       198.642       30.2896        7.6433        7.0334        9.7773      0.000000      0.000000     0.0000000      1.000000 
         647.       73.8508       4.90253       198.667       30.3122        7.6459        7.0358        9.9352      0.000000      0.000000     0.0000000      1.000000 
         650.       74.7951       4.90548       198.691       30.3341        7.6485        7.0382        9.9352      0.000000      0.000000     0.0000000      1.000000 
         653.       75.7306       4.90828       198.714       30.3547        7.6510        7.0404        9.9352      0.000000      0.000000     0.0000000      1.000000 
         657.       76.6586       4.91098       198.736       30.3749        7.6534        7.0426        9.9352      0.000000      0.000000     0.0000000      1.000000 
         660.       77.5787       4.91356       198.757       30.3939        7.6557        7.0446        9.9352      0.000000      0.000000     0.0000000      1.000000 
         663.       78.4887       4.91603       198.778       30.4126        7.6579        7.0466        9.9352      0.000000      0.000000     0.0000000      1.000000 
         667.       79.3901       4.91839       198.797       30.4301        7.6601        7.0485        9.9352      0.000000      0.000000     0.0000000      1.000000 
         670.       80.2825       4.92065       198.816       30.4469        7.6621        7.0504        9.9352      0.000000      0.000000     0.0000000      1.000000 
         673.       81.1636       4.92282       198.834       30.4634        7.6641        7.0521        9.9352      0.000000      0.000000     0.0000000      1.000000 
         677.       82.0351       4.92489       198.851       30.4790        7.6660        7.0538        9.9352      0.000000      0.000000     0.0000000      1.000000 
         680.       82.8968       4.92687       198.868       30.4938        7.6678        7.0555        9.9352      0.000000      0.000000     0.0000000      1.000000 
         683.       83.7462       4.92877       198.884       30.5085        7.6696        7.0570        9.9352      0.000000      0.000000     0.0000000      1.000000 
         687.       84.5853       4.93059       198.900       30.5223        7.6713        7.0585        9.9352      0.000000      0.000000     0.0000000      1.000000 
         690.       85.4138       4.93232       198.914       30.5353        7.6729        7.0600        9.9352      0.000000      0.000000     0.0000000      1.000000 
         693.       86.2291       4.93398       198.929       30.5481        7.6745        7.0614        9.9352      0.000000      0.000000     0.0000000      1.000000 
         697.       87.0335       4.93559       198.943       30.5608        7.6760        7.0627        9.9352      0.000000      0.000000     0.0000000      1.000000 
         700.       87.8268       4.93712       198.956       30.5726        7.6774        7.0640        9.9352      0.000000      0.000000     0.0000000      1.000000 
         703.       88.6062       4.93858       198.969       30.5840        7.6788        7.0652        9.9352      0.000000      0.000000     0.0000000      1.000000 
         707.       89.3743       4.93999       198.982       30.5954        7.6802        7.0664        9.9352      0.000000      0.000000     0.0000000      1.000000 
         710.       90.1308       4.94133       198.994       30.6059        7.6815        7.0675        9.9352      0.000000      0.000000     0.0000000      1.000000 
         713.       90.8730       4.94260       199.005       30.6157        7.6827        7.0686        9.9352      0.000000      0.000000     0.0000000      1.000000 
         717.       91.6035       4.94383       199.016       30.6254        7.6839        7.0696        9.9352      0.000000      0.000000     0.0000000      1.000000 
         720.       92.3223       4.94503       199.027       30.6354        7.6850        7.0706        9.9352      0.000000      0.000000     0.0000000      1.000000 
         723.       93.0264       4.94617       199.038       30.6447        7.6861        7.0716        9.9352      0.000000      0.000000     0.0000000      1.000000 
         727.       93.7187       4.94725       199.048       30.6532        7.6872        7.0725        9.9352      0.000000      0.000000     0.0000000      1.000000 
